tweet_id,text,sentiment,labels,ca_related
1.4661339732440392e+18,"@JustinTrudeau The first case of the Omicron variant was from someone who had previously had the Moderna vaccine. Noble Prize Winner, Dr. Montagnier, predicted the mutations would come from the vaccines…you idiot!
#Arresttrudeau #OmicronVarient #TrudeauNationalDisgrace #NoVaccinePassports https://t.co/BbWFjgt3A6",,,
1.4659129585343078e+18,@JustinTrudeau COVAXIN IS THE SAFEST VACCINE IN THE WORLD .NO SEVERE SIDE AFFECTS OR DEATH IN 250 MILLION DOSES .ANYONE THAT GETS MYOCARDITIS FROM VACCINES IS NOT IMPORTANT TO YOUR GOVERMENT BUT IT IS TO PARENTS AND KIDS THAT DO,,,
1.4658894010707515e+18,"@ruralsasknews @JustinTrudeau Yes.  Let’s all hide in fear until every single person is vaccinated with the vaccine that we have, but don’t trust to protect ourselves.",,,
1.465938665574744e+18,@shuffles99 @cyruskevinj @JustinTrudeau Actually no one knows long term covid risks nor the vaccine that's been created to keep people safe from it...,,,
1.465857681361707e+18,@happylen5 @sum_dude_here @CPHO_Canada Saying its a lie doesnt make it a lie. It took india 30 yrs to end it  and it was more the acccumulitive effects of immunity that ended it. The vaccine played a part but thats all. Do you have any real evidence that vaccines have ever been solely responsible for ending a pandemic https://t.co/TxUPfVR0lN,,,
1.4660654772565484e+18,"@Kennypj84 @ruralsasknews @JustinTrudeau And just like the Flu Vaccine seldom has the ability to stop the Flu virus, the vaccines are not guaranteed to work on the new variants... But Jennifer doesn't understand that...",,,
1.4658576945821573e+18,@ampahcd @fordnation @JustinTrudeau Reality has left. The vaccinated shouldn’t care; that’s the point of the vaccine. You’re good you’re protected. Canadians should be able to travel freely in our country.,,,
1.4661124303633162e+18,"@powertoworld @NewsroomGC @CPHO_Canada If Canada would have allocated the billions of dollars they spent on vaccine promotions they could have easily shut the country down for a month, and afterwards have a mandatory quarantine after travel. IMO.",,,
1.466019896911929e+18,"@FRBpapajok @SaltyPiet @estellelevenda1 @JustinTrudeau Traditionally the definition of a vaccine is literally ""to provide immunity""  definition changed in 2021 to ""provide protection""  this is not a vaccine. It's a drug that provides protection for a very short time with millions upon millions of adverse side effects.",,,
1.4658695426267873e+18,@ScienceUpFirst @CPHO_Canada @CASC_ACCS @GovCanHealth @StanKutcher @CaulfieldTim @thisisourshotca @OttawaHealth @heysciencesam @CIHR_IRSC Do you care if the vaccines cause HEART ATTACKS? 🤡https://t.co/5IrbJmgRDq,,,
1.466071776631214e+18,"@LyndseyLuke @JustinTrudeau NOT A VACCINE!! YOU HAVE BEEN FOOLED BE TONE!! WHERE GAVE YOU BEEN, IN YOUR LIVING ROOM WATCHING MAINSTREAM MEDIA FOR 2 YEARS!!",,,
